id,college_name,city,state,created_at,updated_at,email_url
98,Tulane University,New Orleans,LA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,tulane.edu
99,University of Alabama - Birmingham,Birmingham,AL,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,uab.edu
100,University of Alabama - Huntsville,Huntsville,AL,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,uah.edu
101,University of Alaska - Anchorage,Anchorage,AK,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,alaska.edu
102,University of Arizona,Tucson,AZ,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,arizona.edu
103,University of Arkansas - Fayetteville,Fayetteville,AR,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,uark.edu
104,University of Bridgeport,Bridgeport,CT,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,bridgeport.edu
105,University of California - Davis,Davis,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,ucdavis.edu
106,University of California - Los Angeles,Los Angeles,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,ucla.edu
107,University of California - San Diego,La Jolla,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,ucsd.edu
108,University of California - Berkeley,Berkeley,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,berkeley.edu
109,University of California - Irvine,Irvine,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,uci.edu
110,University of California - Riverside,Riverside,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,ucr.edu
111,University of California - San Francisco,San Francisco,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,ucsf.edu
112,University of California - Santa Barbara,Santa Barbara,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,ucsb.edu
113,University of California - Santa Cruz,Santa Cruz,CA,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,ucsc.edu
114,University of Colorado - Boulder,Boulder,CO,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,colorado.edu
115,University of Connecticut,Storrs,CT,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,uconn.edu
116,University of Florida,Gainesville,FL,2018-11-24 22:08:20.547662,2018-11-24 22:08:20.547662,ufl.edu
